City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
439,zhaotong,27.3167,103.7167,4.31,74,100,1.83,CN,1675908433
440,santa rosa,14.3122,121.1114,29.5,66,100,7.17,PH,1675908272
441,nizhniy kuranakh,58.8353,125.4869,-24.45,96,93,0.43,RU,1675908433
442,chaman,30.9236,66.4512,11.5,67,100,8.08,PK,1675908434
443,wetaskiwin,52.9668,-113.3687,-3.88,92,6,2.98,CA,1675908435
444,okhotsk,59.3833,143.3,-26.75,81,22,6.28,RU,1675908356
445,iskitim,54.6366,83.3045,-24.69,100,100,0.32,RU,1675908435
446,syracuse,37.0881,15.2792,8.65,88,100,16.21,IT,1675908214
447,ahuimanu,21.4447,-157.8378,26.84,68,75,7.72,US,1675908436
448,piney green,34.716,-77.3202,13.28,82,0,0.0,US,1675908437
449,fare,-16.7,-151.0167,27.3,73,6,4.01,PF,1675908437
450,khammam,17.25,80.15,20.83,82,28,0.35,IN,1675908438
451,ilembula,-8.9,34.5833,15.79,97,100,0.16,TZ,1675908438
452,joensuu,62.6012,29.7632,0.27,100,100,5.14,FI,1675908439
453,amazar,53.858,120.875,-18.18,88,100,0.7,RU,1675908439
454,noboribetsu,42.4514,141.1731,-4.43,63,41,7.32,JP,1675908441
455,thunder bay,48.4001,-89.3168,-3.01,86,100,3.6,CA,1675908344
456,mobai,7.9944,-10.7511,22.21,92,81,0.89,SL,1675908442
457,marfino,55.7028,37.3822,-2.85,92,75,2.0,RU,1675908442
458,novikovo,51.1537,37.8879,-11.92,95,33,2.3,RU,1675908443
459,sabang,5.8933,95.3214,27.62,74,97,6.18,ID,1675908443
460,deputatskiy,69.3,139.9,-41.47,98,89,1.7,RU,1675908444
461,bonoua,5.2741,-3.595,25.79,91,89,1.59,CI,1675908444
462,havre-saint-pierre,50.2334,-63.5986,-12.68,76,26,6.04,CA,1675908445
463,norman wells,65.282,-126.8329,-24.98,70,75,1.03,CA,1675908243
464,ylivieska,64.0833,24.55,3.51,83,100,8.96,FI,1675908445
465,lumsden,50.6501,-104.8678,-2.77,88,100,5.78,CA,1675908446
466,rong kwang,18.339,100.3174,23.58,35,39,0.63,TH,1675908447
467,demba,-5.51,22.2667,18.67,95,96,0.43,CD,1675908164
468,haines junction,60.7522,-137.5108,-13.86,99,49,0.88,CA,1675908447
469,kruisfontein,-34.0033,24.7314,16.6,83,90,0.7,ZA,1675908448
470,sakakah,29.9697,40.2064,5.76,75,69,2.39,SA,1675908394
471,mayor pablo lagerenza,-19.9309,-60.7718,25.57,73,11,1.97,PY,1675908449
472,temir,49.1414,57.13,-18.72,98,32,3.31,KZ,1675908450
473,boguchany,58.3814,97.4531,-20.92,100,98,1.47,RU,1675908450
474,imperia,43.9667,7.7833,1.34,32,6,4.78,IT,1675908451
475,sumenep,-7.0167,113.8667,27.73,79,94,4.99,ID,1675908420
476,luanda,-8.8368,13.2343,25.0,83,0,3.09,AO,1675908451
477,taltal,-25.4,-70.4833,21.12,80,35,1.93,CL,1675908452
478,champerico,14.3,-91.9167,25.86,76,1,4.42,GT,1675908452
479,bubaque,11.2833,-15.8333,23.57,66,0,4.24,GW,1675908452
480,salalah,17.0151,54.0924,20.05,56,0,1.54,OM,1675908297
481,bulembu,-25.9667,31.1333,17.17,99,100,0.9,SZ,1675908453
482,kununurra,-15.7667,128.7333,32.99,55,14,3.09,AU,1675908159
483,lundazi,-12.2929,33.1782,16.24,97,88,2.18,ZM,1675908453
484,nishihara,26.1842,127.7558,21.81,73,75,6.17,JP,1675908454
485,gobabis,-22.45,18.9667,18.53,81,18,3.47,NA,1675908454
486,batken,39.8333,71.0,-5.15,64,100,3.6,KG,1675908454
487,puerto palomas,31.7667,-107.6167,9.77,27,19,4.58,MX,1675908455
488,berezovyy,51.6667,135.7,-21.67,74,3,1.22,RU,1675908455
489,le port,-20.9373,55.2919,24.98,81,87,2.33,RE,1675908455
490,mukdahan,16.5833,104.5,28.81,52,17,3.73,TH,1675908456
491,katsuura,35.1333,140.3,7.66,43,99,5.55,JP,1675908418
492,palana,59.1167,159.9667,-18.36,94,100,6.03,RU,1675908456
493,balingasay,16.3573,119.8564,27.18,61,53,6.71,PH,1675908456
494,paka,4.6374,103.4368,25.95,80,100,1.33,MY,1675908457
495,mons,50.4538,3.9516,-0.23,69,5,1.54,BE,1675908457
496,longhua,23.6137,114.1919,20.76,82,100,0.67,CN,1675908457
497,baiao,-2.7906,-49.6717,22.43,99,92,0.89,BR,1675908458
498,sitka,57.0531,-135.33,3.94,65,0,5.66,US,1675908458
499,chapada dos guimaraes,-15.4606,-55.7497,20.81,90,90,1.4,BR,1675908458
500,mayo,38.8876,-76.5119,11.31,65,0,2.06,US,1675908459
501,santa comba,43.0331,-8.8093,4.81,91,0,1.84,ES,1675908459
502,torbay,47.6666,-52.7314,-0.24,94,100,8.23,CA,1675908459
503,desaguadero,-16.5656,-69.0417,8.11,84,100,3.44,PE,1675908460
504,alghero,40.5589,8.3181,1.05,93,33,0.51,IT,1675908460
505,ariquemes,-9.9133,-63.0408,22.8,98,85,0.76,BR,1675908208
506,strezhevoy,60.7333,77.5889,-17.32,94,100,4.2,RU,1675908461
507,aqtobe,50.2797,57.2072,-16.95,78,100,0.0,KZ,1675908235
508,vestmanna,62.1564,-7.1664,0.51,75,75,18.52,FO,1675908461
509,salinopolis,-0.6136,-47.3561,25.45,86,99,3.62,BR,1675908461
510,livadi,40.125,22.1517,-7.8,59,77,2.05,GR,1675908462
511,birnin kebbi,12.4539,4.1975,22.95,16,100,4.49,NG,1675908462
512,anadyr,64.75,177.4833,-33.72,66,0,5.0,RU,1675908462
513,isangel,-19.55,169.2667,28.06,83,100,5.14,VU,1675908463
514,limanowa,49.7059,20.422,-8.73,91,5,2.28,PL,1675908463
515,nisia floresta,-6.0911,-35.2086,26.45,84,24,3.74,BR,1675908463
516,camacha,33.0833,-16.3333,12.68,67,75,5.14,PT,1675908295
517,marsa matruh,31.3525,27.2453,11.2,64,87,5.47,EG,1675908464
518,caravelas,-17.7125,-39.2481,24.95,80,10,3.1,BR,1675908348
519,high rock,26.6208,-78.2833,20.01,62,28,8.03,BS,1675908464
520,seoul,37.5683,126.9778,3.66,29,86,1.94,KR,1675908464
521,akdepe,42.0551,59.3788,-3.09,78,55,7.11,TM,1675908465
522,kudahuvadhoo,2.6708,72.8944,27.17,71,96,3.07,MV,1675908465
523,zhangye,38.9342,100.4517,-0.6,38,0,2.38,CN,1675908465
524,panguna,-6.3164,155.4848,27.6,61,100,1.66,PG,1675908466
525,kolpashevo,58.3131,82.9089,-29.17,100,100,1.53,RU,1675908466
526,pasni,25.2631,63.471,21.14,76,2,2.11,PK,1675908466
527,kontagora,10.3999,5.4695,23.41,17,23,2.9,NG,1675908468
528,alekseyevsk,57.8406,108.3492,-8.9,95,100,2.19,RU,1675908468
529,banjarmasin,-3.3244,114.591,26.08,78,100,0.91,ID,1675908469
530,hirara,24.8,125.2833,22.07,78,76,8.7,JP,1675908469
531,tadine,-21.55,167.8833,28.31,74,99,4.93,NC,1675908469
532,mumford,5.2618,-0.759,25.84,89,100,3.05,GH,1675908470
533,taksimo,56.3444,114.8794,-20.71,89,99,0.19,RU,1675908471
534,port-cartier,50.0334,-66.8654,-11.25,72,9,6.25,CA,1675908471
535,half moon bay,37.4636,-122.4286,15.51,72,0,4.63,US,1675908471
536,colares,38.7992,-9.4469,11.85,84,11,6.71,PT,1675908472
537,lensk,60.7253,114.9278,-27.07,98,97,1.56,RU,1675908472
538,jilove u prahy,49.8955,14.4933,-2.88,83,0,4.59,CZ,1675908472
539,dong hoi,17.4833,106.6,23.97,88,46,1.67,VN,1675908473
540,angoche,-16.2325,39.9086,24.56,90,100,4.85,MZ,1675908473
541,rio claro,-22.4114,-47.5614,19.7,95,0,1.11,BR,1675908473
542,teguldet,57.3064,88.1667,-21.69,100,100,1.14,RU,1675908474
543,salamiyah,35.0113,37.0532,1.12,78,4,2.76,SY,1675908474
544,langfang,39.5097,116.6947,2.19,38,100,2.41,CN,1675908219
545,sandwick,60.0,-1.25,4.9,81,75,14.92,GB,1675908474
546,ambilobe,-13.2,49.05,22.35,96,76,0.87,MG,1675908475
547,viesite,56.3475,25.5551,-4.19,93,14,3.01,LV,1675908475
548,booue,-0.0921,11.9385,23.25,84,71,0.94,GA,1675908475
549,zemio,5.0314,25.1361,18.38,26,19,1.87,CF,1675908476
550,vaitape,-16.5167,-151.75,27.16,73,11,3.79,PF,1675908476
551,corinto,37.9407,22.9573,6.05,68,96,5.08,GR,1675908477
552,portland,45.5234,-122.6762,9.34,76,40,0.89,US,1675908343
553,saint paul,44.9444,-93.0933,2.23,80,0,4.12,US,1675908332
554,suzzara,44.9919,10.7431,1.31,64,9,3.47,IT,1675908477
555,fayaoue,-20.65,166.5333,27.95,79,100,3.74,NC,1675908381
556,bouafle,6.9904,-5.7442,24.98,90,100,1.25,CI,1675908478
557,bethanien,-26.502,17.1583,22.87,50,0,2.22,NA,1675908478
558,santa cruz,-17.8,-63.1667,24.7,94,75,3.6,BO,1675908478
559,ampere,-25.915,-53.4728,20.01,57,0,0.25,BR,1675908479
560,jagatsinghapur,20.2667,86.1667,20.2,76,6,1.8,IN,1675908479
561,bhum,18.4667,75.6667,20.29,35,76,3.57,IN,1675908479
562,teguise,29.0605,-13.564,10.12,82,0,3.09,ES,1675908480
563,guangyuan,32.442,105.823,9.3,70,64,1.36,CN,1675908480
564,kirensk,57.7853,108.1119,-9.12,95,100,2.04,RU,1675908480
565,chikitigarh,19.2,84.6167,21.75,58,79,1.15,IN,1675908481
566,yar-sale,66.8333,70.8333,-10.5,97,91,4.61,RU,1675908481
567,moyale,3.5167,39.0584,20.8,42,11,4.61,KE,1675908481
568,brae,60.3964,-1.353,4.66,73,98,16.16,GB,1675908482
569,atar,20.5169,-13.0499,21.35,17,100,1.77,MR,1675908483
570,baltasi,56.3462,50.2062,-11.47,100,94,2.16,RU,1675908483
